,Chutes a gol 1,Chutes a gol 2,Impedimentos 1,Impedimentos 2,Escanteios 1,Escanteios 2,Chutes fora 1,Chutes fora 2,Faltas 1,Faltas 2,Cartões amarelos 1,Cartões amarelos 2,Cartões vermelhos 1,Cartões vermelhos 2,Cruzamentos 1,Cruzamentos 2,Laterais 1,Laterais 2,Chutes bloqueados 1,Chutes bloqueados 2,Contra-ataques 1,Contra-ataques 2,Gols 1,Gols 2,Tiro de meta 1,Tiro de meta 2,Tratamentos 1,Tratamentos 2,SubstituiÃ§Ãµes 1,SubstituiÃ§Ãµes 2,Tiros-livres 1,Tiros-livres 2,Defesas difÃ­ceis 1,Defesas difÃ­ceis 2,Posse 1(%),Posse 2(%),Time 1,Time 2,Position 1,Position 2,Time 1 x Time 2,Resultado Time 1,Position 1 Score,Position 2 Score
26289,2.0,4.0,3.0,2.0,6.0,7.0,12.0,4.0,9.0,16.0,2.0,3.0,0.0,0.0,37.0,16.0,16.0,14.0,1.0,1.0,2.0,4.0,0.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,54.0,46.0,266,22,4-4-2,4-4-2,6184,1,0.9,0.9
6027,3.0,3.0,0.0,4.0,8.0,5.0,4.0,0.0,18.0,13.0,1.0,1.0,0.0,0.0,17.0,13.0,6.0,25.0,2.0,2.0,1.0,1.0,2.0,2.0,6.0,7.0,1.0,2.0,3.0,3.0,17.0,18.0,1.0,1.0,46.0,54.0,233,138,3-4-3,3-4-1-2,5419,1,0.76,0.84
8743,2.0,1.0,2.0,2.0,5.0,4.0,6.0,5.0,12.0,13.0,2.0,3.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,2.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,52.0,48.0,236,72,4-5-1,4-4-2,5480,0,0.95,0.9
17667,7.0,2.0,2.0,1.0,5.0,2.0,8.0,9.0,14.0,10.0,2.0,2.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,4.0,1.0,1.0,1.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,60.0,40.0,159,50,4-3-3,4-4-2,7339,1,0.78,0.9
6445,7.0,5.0,1.0,4.0,12.0,3.0,8.0,6.0,17.0,11.0,2.0,2.0,0.0,0.0,17.0,13.0,27.0,30.0,2.0,2.0,1.0,1.0,1.0,2.0,9.0,10.0,1.0,2.0,3.0,3.0,15.0,18.0,3.0,5.0,51.0,49.0,62,277,4-3-1-2,3-5-2,1421,1,0.88,0.85
11979,10.0,3.0,5.0,0.0,6.0,2.0,6.0,1.0,12.0,19.0,0.0,3.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,4.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,54.0,46.0,141,112,,,3134,0,,
7885,2.0,5.0,2.0,2.0,4.0,7.0,5.0,11.0,11.0,9.0,5.0,3.0,0.0,0.0,7.0,8.0,7.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,13.0,11.0,1.0,0.0,3.0,3.0,14.0,14.0,2.0,3.0,39.0,61.0,270,233,3-5-2,4-3-3,6307,1,0.85,0.78
27213,4.0,4.0,0.0,3.0,4.0,6.0,2.0,10.0,10.0,13.0,2.0,2.0,0.0,0.0,16.0,32.0,22.0,32.0,2.0,2.0,1.0,1.0,2.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,45.0,55.0,302,179,4-2-3-1,4-4-2,7082,0,0.87,0.9
6690,5.0,3.0,2.0,2.0,7.0,1.0,3.0,1.0,13.0,22.0,2.0,3.0,0.0,0.0,17.0,13.0,20.0,26.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,6.0,1.0,2.0,3.0,3.0,24.0,15.0,2.0,3.0,56.0,44.0,72,62,4-3-1-2,3-5-2,1637,0,0.88,0.85
17967,3.0,3.0,1.0,1.0,2.0,4.0,2.0,7.0,12.0,16.0,1.0,5.0,0.0,0.0,17.0,13.0,18.0,23.0,2.0,2.0,1.0,1.0,1.0,1.0,19.0,15.0,1.0,2.0,3.0,3.0,17.0,13.0,2.0,2.0,42.0,58.0,60,166,,,1350,1,,
